Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
124,tt0254481,2012-12-24,2012-12-24,,Koi... Mil Gaya,https://www.imdb.com/title/tt0254481/,movie,7.1,171,2003,"Action, Drama, Romance, Sci-Fi",20903,2003-08-08,Rakesh Roshan,,
125,tt0323013,2012-12-24,2012-12-24,,Lakshya,https://www.imdb.com/title/tt0323013/,movie,7.9,186,2004,"Action, Drama, Romance, War",20356,2004-06-18,Farhan Akhtar,,
126,tt0432637,2012-12-24,2012-12-24,,Krrish,https://www.imdb.com/title/tt0432637/,movie,6.4,185,2006,"Action, Sci-Fi",18043,2006-06-23,Rakesh Roshan,,
127,tt0441048,2012-12-24,2012-12-24,,Dhoom:2,https://www.imdb.com/title/tt0441048/,movie,6.5,152,2006,"Action, Crime, Thriller",23499,2006-11-23,Sanjay Gadhvi,,
128,tt1198101,2012-12-24,2012-12-24,,Kites,https://www.imdb.com/title/tt1198101/,movie,6.1,123,2010,"Action, Drama, Romance, Thriller",12231,2010-05-21,Anurag Basu,,
129,tt1438298,2012-12-24,2012-12-24,,Guzaarish,https://www.imdb.com/title/tt1438298/,movie,7.4,126,2010,Drama,17059,2010-11-16,Sanjay Leela Bhansali,,
130,tt1562872,2012-12-24,2012-12-24,,Zindagi Na Milegi Dobara,https://www.imdb.com/title/tt1562872/,movie,8.1,155,2011,"Comedy, Drama",66591,2011-07-15,Zoya Akhtar,,
131,tt0292490,2012-12-24,2012-12-24,,Dil Chahta Hai,https://www.imdb.com/title/tt0292490/,movie,8.1,183,2001,"Comedy, Drama, Romance",65996,2001-08-10,Farhan Akhtar,,
132,tt0378072,2012-12-24,2012-12-24,,Hum Tum,https://www.imdb.com/title/tt0378072/,movie,7.0,143,2004,"Comedy, Drama, Romance",13096,2004-05-28,Kunal Kohli,,
133,tt0456165,2012-12-24,2012-12-24,,Salaam Namaste,https://www.imdb.com/title/tt0456165/,movie,6.2,158,2005,"Comedy, Drama, Romance",6743,2005-09-09,Siddharth Anand,,
134,tt0833553,2012-12-24,2012-12-24,,Ta Ra Rum Pum,https://www.imdb.com/title/tt0833553/,movie,5.6,153,2007,"Family, Romance, Sport",4208,2007-04-27,Siddharth Anand,,
